"","DATE","unemp_rate","prix_VA","deflat_prix_conso","capacite_prod","deflat_import","SMPT","log_unemp_rate","log_capacite_prod","taux_prix_VA","taux_deflat_prix_conso","taux_deflat_import","taux_SMPT"
"1","1970-01-01",4.15798711345717,0.264,20.569,83.3073,19.428,7643.9896789634,1.42503109021437,4.42253618038709,NA,NA,NA,NA
"2","1970-04-01",4.76917414867632,0.268,20.797,82.0769,19.653,7715.17697809378,1.56217315546134,4.40765661267804,NA,NA,NA,NA
"3","1970-07-01",5.33025848730362,0.269,20.999,81.0276,20.135,7829.49646369298,1.67339973368168,4.39478983737424,NA,NA,NA,NA
"4","1970-10-01",5.89676202758087,0.272,21.271,78.5478,20.34,7883.27145974438,1.77440339137636,4.36370735667096,NA,NA,NA,NA
"5","1971-01-01",5.97924189966014,0.275,21.472,79.3934,20.854,8053.08847608831,1.78829378729413,4.37441524137245,4.16666666666667,4.39010160921776,7.33992176240477,5.35190148478037
"6","1971-04-01",5.9856359403253,0.278,21.716,79.5027,20.927,8154.77879711713,1.78936258905865,4.37579098334773,3.73134328358209,4.41890657306343,6.48247086958735,5.69788379801965
"7","1971-07-01",6.14264803764738,0.28,21.929,79.1457,21.181,8242.4335750483,1.81525592567588,4.37129045762446,4.08921933085502,4.42878232296775,5.19493419418922,5.27412092553075
"8","1971-10-01",6.04669276415828,0.281,22.064,80.3729,21.492,8327.1922745109,1.79951147202251,4.38667705468924,3.30882352941178,3.7280804851676,5.66371681415929,5.63117503987243
"9","1972-01-01",5.85195262130516,0.284,22.296,83.1917,21.85,8509.78062953773,1.76677538697082,4.42114758323546,3.27272727272725,3.8375558867362,4.77606214635082,5.67101870053281
"10","1972-04-01",5.75380065056364,0.285,22.425,84.1495,22.415,8580.822999333,1.74986061916312,4.43259497884852,2.51798561151078,3.2648738257506,7.1104314999761,5.22447282526517
"11","1972-07-01",5.70693552804592,0.288,22.622,84.5425,22.782,8675.61252329885,1.74168219449513,4.43725436650174,2.85714285714285,3.16019882347578,7.55866106416128,5.25547393626418
"12","1972-10-01",5.36997859880282,0.291,22.807,86.7229,23.301,8856.27903874797,1.68082392318747,4.46271797809161,3.55871886120995,3.36747643219724,8.41708542713566,6.35372340154292
"13","1973-01-01",5.02798233441389,0.295,23.084,88.3711,24.007,8994.81385604282,1.61501877727988,4.48154499311568,3.87323943661972,3.53426623609616,9.87185354691076,5.69971480606124
"14","1973-04-01",4.99529703981972,0.3,23.529,88.2214,25.909,9133.28405582852,1.60849687776377,4.47984956396824,5.26315789473684,4.92307692307692,15.5877760428285,6.43832248420071
"15","1973-07-01",4.91486301747149,0.306,23.958,88.0567,27.143,9286.47933712833,1.59226388290993,4.47798092517618,6.25,5.90575545928742,19.1423053287683,7.04119521461994
"16","1973-10-01",4.83325587233734,0.313,24.45,88.5098,29.167,9445.31551049418,1.57552033421703,4.48311328034655,7.56013745704469,7.20392861840664,25.1748851980602,6.65106044162633
"17","1974-01-01",5.14156936084314,0.319,25.178,86.9336,33.755,9565.49328787556,1.63735835598669,4.46514460886435,8.13559322033899,9.07121815976435,40.6048235931187,6.34453854149908
"18","1974-04-01",5.25479622741175,0.326,25.891,86.3134,37.598,9747.55768781709,1.65914122668111,4.45798485834179,8.66666666666667,10.0386756768243,45.1155968968312,6.7256599951752
"19","1974-07-01",5.72668553828005,0.337,26.589,85.396,39.517,9960.75297309901,1.7451369232749,4.44729926129008,10.1307189542484,10.9817180065114,45.5881811148362,7.2608101681211
"20","1974-10-01",6.67818002254614,0.348,27.262,81.5166,40.792,10136.8041373371,1.89884549871219,4.40080668048826,11.1821086261981,11.5010224948875,39.8566873521445,7.32096906741369
"21","1975-01-01",8.38201556766228,0.357,27.771,75.7094,41.468,10290.9568177979,2.12608840677415,4.32690232710693,11.9122257053291,10.2986734450711,22.8499481558288,7.58417269333993
"22","1975-04-01",8.91696450677509,0.361,28.109,74.3632,41.595,10457.5292349905,2.18795558674503,4.3089611958165,10.7361963190184,8.56668340349931,10.6308846215224,7.28358394904178
"23","1975-07-01",8.58801817696069,0.368,28.634,75.8213,40.672,10659.1751712084,2.15036799656771,4.328379255813,9.19881305637982,7.69115047576066,2.92279272211957,7.01174097977983
"24","1975-10-01",8.38547402876994,0.373,29.115,77.0566,40.722,10878.4695723755,2.12650092662536,4.34454021676084,7.18390804597702,6.79700682268358,-0.171602274955873,7.31656077191631
"25","1976-01-01",7.85053825231159,0.375,29.437,78.9466,41.36,11057.609564787,2.06058209661715,4.36877167454316,5.04201680672269,5.99906377156025,-0.260441786437748,7.44977129496049
"26","1976-04-01",7.59943269874796,0.378,29.685,79.4555,41.977,11211.6396335826,2.02807359960463,4.37519711651498,4.70914127423823,5.60674517058593,0.918379612934239,7.21117179447028
"27","1976-07-01",7.79994293663372,0.382,30.137,79.9681,42.725,11396.3444466282,2.0541164178526,4.38162780515196,3.80434782608696,5.24900467975133,5.0476986624705,6.91581912839663
"28","1976-10-01",7.8749012600538,0.389,30.614,80.8502,43.169,11595.160412138,2.06368064622722,4.39259805973682,4.28954423592494,5.148548857977,6.00903688423946,6.58815870186835
"29","1977-01-01",7.61288418906824,0.394,31.165,81.8973,44.703,11725.59643558,2.02984209994884,4.40546602328263,5.06666666666666,5.87016339980295,8.08268858800774,6.04096994815468
